x,y,psi,s,velocity,acceleration,curvature
5.74775,0.0996946,-0.113472,3.05066,13.3053,-3.47414,0.0654762
5.75763,0.0985647,-0.114124,3.06061,13.3027,-3.44437,0.0656023
5.76752,0.0974283,-0.114778,3.07056,13.3002,-3.41462,0.0657283
5.7774,0.0962854,-0.115432,3.08052,13.2976,-3.38488,0.0658545
5.78729,0.0951361,-0.116088,3.09047,13.2951,-3.35517,0.0659807
5.79717,0.0939802,-0.116746,3.10042,13.2926,-3.32548,0.0661069
5.80705,0.0928179,-0.117404,3.11037,13.2901,-3.29583,0.0662332
5.81694,0.091649,-0.118064,3.12032,13.2876,-3.26622,0.0663596
5.82682,0.0904736,-0.118725,3.13027,13.2852,-3.23666,0.066486
5.8367,0.0892917,-0.119387,3.14022,13.2827,-3.20715,0.0666125
5.84658,0.0881032,-0.12005,3.15017,13.2803,-3.17769,0.066739
5.85646,0.0869081,-0.120715,3.16012,13.278,-3.14831,0.0668656
5.86633,0.0857065,-0.121381,3.17007,13.2756,-3.11899,0.0669922
5.87621,0.0844983,-0.122048,3.18003,13.2733,-3.08975,0.0671189
5.88609,0.0832835,-0.122717,3.18998,13.2709,-3.06059,0.0672456
5.89597,0.0820621,-0.123387,3.19993,13.2686,-3.03152,0.0673724
5.90584,0.080834,-0.124058,3.20988,13.2664,-3.00254,0.0674992
5.91571,0.0795993,-0.12473,3.21983,13.2641,-2.97365,0.0676261
5.92559,0.078358,-0.125404,3.22978,13.2619,-2.94487,0.067753
5.93546,0.07711,-0.126079,3.23973,13.2597,-2.91619,0.06788
5.94533,0.0758554,-0.126755,3.24968,13.2575,-2.88762,0.068007
5.9552,0.074594,-0.127432,3.25964,13.2553,-2.85917,0.0681341
5.96507,0.073326,-0.128111,3.26959,13.2532,-2.83083,0.0682612
5.97494,0.0720513,-0.128791,3.27954,13.2511,-2.80262,0.0683884
5.98481,0.0707698,-0.129472,3.28949,13.2489,-2.77454,0.0685156
5.99468,0.0694816,-0.130154,3.29944,13.2469,-2.74659,0.0686429
6.00455,0.0681867,-0.130838,3.30939,13.2448,-2.71878,0.0687702
6.01441,0.066885,-0.131523,3.31934,13.2428,-2.69111,0.0688976
6.02428,0.0655766,-0.132209,3.32929,13.2407,-2.66359,0.069025
6.03414,0.0642614,-0.132897,3.33925,13.2387,-2.63622,0.0691524
6.044,0.0629394,-0.133586,3.3492,13.2368,-2.609,0.0692799
6.05387,0.0616106,-0.134276,3.35915,13.2348,-2.58193,0.0694075
6.06373,0.060275,-0.134967,3.3691,13.2328,-2.55503,0.069535
6.07359,0.0589325,-0.13566,3.37905,13.2309,-2.5283,0.0696627
6.08345,0.0575832,-0.136354,3.389,13.229,-2.50173,0.0697903
6.09331,0.0562271,-0.137049,3.39895,13.2271,-2.47534,0.069918
6.10316,0.0548641,-0.137745,3.40891,13.2253,-2.44912,0.0700458
6.11302,0.0534943,-0.138443,3.41886,13.2234,-2.42308,0.0701736
6.12287,0.0521175,-0.139142,3.42881,13.2216,-2.39721,0.0703014
6.13273,0.0507339,-0.139842,3.43876,13.2198,-2.37153,0.0704293
6.14258,0.0493434,-0.140543,3.44871,13.218,-2.34603,0.0705572
6.15244,0.0479459,-0.141246,3.45866,13.2163,-2.32071,0.0706851
6.16229,0.0465415,-0.14195,3.46861,13.2145,-2.29557,0.0708131
6.17214,0.0451302,-0.142656,3.47856,13.2128,-2.27061,0.0709411
6.18199,0.0437119,-0.143362,3.48852,13.2111,-2.24584,0.0710692
6.19184,0.0422866,-0.14407,3.49847,13.2094,-2.22125,0.0711973
6.20168,0.0408544,-0.144779,3.50842,13.2077,-2.19684,0.0713254
6.21153,0.0394152,-0.14549,3.51837,13.2061,-2.17261,0.0714536
6.22138,0.037969,-0.146201,3.52832,13.2044,-2.14857,0.0715818
6.23122,0.0365157,-0.146914,3.53827,13.2028,-2.1247,0.07171
6.24107,0.0350555,-0.147629,3.54822,13.2012,-2.10102,0.0718383
6.25091,0.0335882,-0.148344,3.55818,13.1996,-2.07752,0.0719666
6.26075,0.0321138,-0.149061,3.56813,13.198,-2.05421,0.0720949
6.27059,0.0306324,-0.149779,3.57808,13.1965,-2.03108,0.0722233
